2020/08/30 22:43:14 Warn: cannot load process tree model at dc65776b-ff73-45ee-89c4-34189aaafe80.json, corrupted data, cannot find "Main process" process
2020/08/30 22:43:14 considering 1861 tasks
2020/08/30 22:43:14 
2020/08/30 22:43:14 [*] coverage: 27.14%, md5: 0c79e2047f2afd97b4fad12ce1127847, uuid: 33fd909f-81d2-456c-9884-7df638c34520, profile: 88b1aa9a3abacfbca2c18956c5aff88efe05c23c.exe
2020/08/30 22:43:14 P: 0.75, md5: 14d7fdc9ff4a486b8522f6710243cbc0, uuid: 28e7081f-5ff6-4a75-8ef4-3fa7ffedf158, name: emotet_payload_55.exe
2020/08/30 22:43:14 P: 0.75, md5: 3bf86114ae17c82a700a7186d7eaf686, uuid: 220955a8-cf84-44b0-9fb8-d73093319a32, name: 763or8c07pre9.exe
2020/08/30 22:43:14 P: 0.75, md5: 16e26c7645bfddc181436fed5520d3d7, uuid: fba8d64d-eb48-45b3-8d17-c9930131be35, name: YwE0KAvZ
2020/08/30 22:43:14 P: 0.75, md5: 6515193a89b5f80c958686febf54ad92, uuid: 4e82bcd7-9353-4a47-8537-0d5fcd403e9c, name: 8.exe
2020/08/30 22:43:14 P: 0.75, md5: 93a8a805db9efe6af5fa12cefbcbb463, uuid: c423f0dd-782a-4045-8cfb-e9b1270091ef, name: hb9
2020/08/30 22:43:14 P: 0.75, md5: c1bf75df7350ec6d7ce18ca541d2e47a, uuid: 99ca26dd-bd50-445b-822a-d1f77cd4e3e1, name: uT068804
2020/08/30 22:43:14 P: 0.75, md5: 21942791aa2c5f9fefc8fc48ff50958f, uuid: 3593d68b-b529-4096-8a38-d6b5920eda23, name: 81.exe
2020/08/30 22:43:14 P: 0.75, md5: a22fab5a3e774b300feb06019bb3fcd3, uuid: bcbb52b2-93b5-4767-94ae-8993c83b7ec8, name: sample-D85EE36E35F7646507633BC3765561C347825D657E5B2ADE060D375D3DB86595.exe
2020/08/30 22:43:14 P: 0.75, md5: d7071c57800f5d56d78b07f319a9c7cf, uuid: 2e3eb4f0-69ee-4aba-9ea6-d36cf887a4a3, name: 7be
2020/08/30 22:43:14 P: 0.75, md5: 262a492573a8d2f5684f0ae8e4f5ebee, uuid: e8afbff5-ce73-4fa3-ace4-ffcdf3cf6020, name: CustomBitmapButtonDemo.exe
2020/08/30 22:43:14 P: 0.75, md5: f85349f84bec1d8cc7e223aa48ad1dcd, uuid: 52dfa6dc-5e1c-4fb1-9a19-985addca365f, name: index.exe
2020/08/30 22:43:14 P: 0.75, md5: 92d2247e8318ea95602b313125c38620, uuid: 76001e0b-2559-4725-9197-be38d249fe3f, name: RMEE429803
2020/08/30 22:43:14 P: 0.75, md5: d8256b178e5191046d27f1c755819856, uuid: c871e99c-493b-4d64-8e4e-ba39566b1516, name: smtcs015
2020/08/30 22:43:14 P: 0.75, md5: 59998a2a1c236bbb5bdffe04393b53f8, uuid: 4ed522e3-2b0c-4043-9dc7-345ff5afc956, name: 63cb6cd04a691f5af02e6a045cdf357e93ee8be5002100b90088b5dd65b24b70
2020/08/30 22:43:14 P: 0.75, md5: 580a3561fc6c1aa925ad1927a51310ae, uuid: 38a7532b-68af-419d-849f-b1104b791192, name: 8wr5E
2020/08/30 22:43:14 P: 0.75, md5: 7ab52f35596f7c0417a5dfa93f753843, uuid: bf231202-7c02-47da-9515-2e41015dfea7, name: 0cdc35195623221c3ad6de4dbcfa66114787b7d2b3803cefec7ea6a3f2af2a22.exe
2020/08/30 22:43:14 P: 0.75, md5: f85349f84bec1d8cc7e223aa48ad1dcd, uuid: 35986007-8093-465a-a4dc-4f58e2798bab, name: index.exe
2020/08/30 22:43:14 P: 0.75, md5: eb212bc9fd6821af49c52233f188d5fb, uuid: f97259dd-447e-461e-aef1-c77b54a64943, name: XenSKgkZ.exe
2020/08/30 22:43:14 P: 0.75, md5: 40166d83f32074f986a76938b5091b64, uuid: 1375d58b-98b7-4fd7-a62d-914d8abc4ced, name: 2Xo
2020/08/30 22:43:14 P: 0.75, md5: 841416af9609f8b1ae5a49e85f2d752b, uuid: fed5b810-afd2-4a63-b0cc-350dde11f740, name: wbGv44
2020/08/30 22:43:14 P: 0.75, md5: b0561eb4bf28e6c38be4bcce5ef52c15, uuid: 3c6fa206-6fb0-4135-a581-ee6e672815f1, name: SVzkoNwXA
2020/08/30 22:43:14 P: 0.75, md5: 467776d091ad81ff28ac14f7dff952bd, uuid: c71f9505-c15f-4e16-941b-55900863c801, name: jSmdQui83ne.exe
2020/08/30 22:43:14 P: 0.75, md5: 01fc744c165fed5875a7d779525bf3bc, uuid: 0e780adf-9beb-4cb8-9a09-fce256c6b2f5, name: 3l42nb_2198.exe
2020/08/30 22:43:14 P: 0.75, md5: 1971bd3c2b25ce33550085b93144ebfb, uuid: 2c8e7d47-513a-40fe-b105-8d48d1e38a8c, name: ijccaFkQnS.exe
2020/08/30 22:43:14 P: 0.75, md5: bef2eb967c39b9ffecfcfc5535e41200, uuid: 3d4096a3-1b1b-49a0-99af-fee2531b6ec0, name: mal.exe
2020/08/30 22:43:14 P: 0.75, md5: ae03a6f8fb74d401b403647d28e21574, uuid: 411adfc8-6dbf-4a7b-ae6b-41aae838c59e, name: 1ad1ff05930f27ef4b349c7a612235d1632ef7ceaa1a17adf7c7b3a97b40ca4d
2020/08/30 22:43:14 P: 0.75, md5: a88fae72ffe46deacb565bba80179349, uuid: 84148792-d899-4610-b229-e7e9b419e7f2, name: Sx5TyQdN878.exe
2020/08/30 22:43:14 P: 0.75, md5: 412b76c6b9213dc98f752c8d135b2334, uuid: 249986cc-c2f6-4790-9a12-bb66e541f791, name: s3pl6yh0-8z9ux-1453060610
2020/08/30 22:43:14 P: 0.75, md5: 1f2b3ca02a20e388d9ec5632174e10cc, uuid: bf8067a6-e79c-4ac5-b1d7-cfb26f2b0b69, name: 8wr5E
2020/08/30 22:43:14 P: 0.75, md5: 95efc67ed996e41184703678dcf34fdb, uuid: ce2e0a01-cefa-4222-8b05-0439ff94b770, name: 6vseqw.exe
2020/08/30 22:43:14 P: 0.75, md5: 319a9bcf3f06e25e808b5eed6ab75be2, uuid: 70207da6-f77a-4d31-9361-19db62244913, name: 18
2020/08/30 22:43:14 P: 0.75, md5: d36cbcc47df65653588a651a61fd2db6, uuid: 4bbbfb3d-40a2-4bcf-933e-a42bc3dc71fb, name: 695.bin
2020/08/30 22:43:14 P: 0.75, md5: 8db38c7f70214ee08e166cde8b9163c6, uuid: d6073d21-ccb0-4510-9344-97ea9f02ff8b, name: 30k-7zsk85-740076298
